,px,film,all
0,0.0,0.04370972876258219,0.4887697543530034
1,0.001001001001001001,0.9018504337483237,0.5068757818032987
2,0.002002002002002002,0.9243815774552023,0.5250062776811981
3,0.003003003003003003,0.9350374634999163,0.5431437222406669
4,0.004004004004004004,0.9397281792730873,0.5612842319225362
5,0.005005005005005005,0.9427411577764714,0.5794258890820663
6,0.006006006006006006,0.9449115164687334,0.5975686935876109
7,0.007007007007007007,0.9474777237146625,0.6157126453075465
8,0.008008008008008008,0.9497467962774186,0.6338599588882864
9,0.009009009009009009,0.9508213463163416,0.6520142232899355
10,0.01001001001001001,0.9530085371316678,0.6701840294224162
11,0.011011011011011011,0.9540682122042138,0.6883606966647735
12,0.012012012012012012,0.9549545113697002,0.7065497460894052
13,0.013013013013013013,0.955636458680653,0.7247595766335129
14,0.014014014014014014,0.9566945590390733,0.7429740804161915
15,0.015015015015015015,0.9576898120360231,0.7611924278383209
16,0.016016016016016016,0.9586896357870346,0.7794131455787647
17,0.017017017017017015,0.9595789566069406,0.797636048681464
18,0.018018018018018018,0.9608171859715787,0.815861256256135
19,0.01901901901901902,0.9614639938475185,0.834088806652364
20,0.02002002002002002,0.9620116649609193,0.852324112046392
21,0.02102102102102102,0.9625648102977746,0.8705646798662334
22,0.022022022022022022,0.9627221095586488,0.8888065197148538
23,0.023023023023023025,0.963766165560841,0.9070500248014919
24,0.024024024024024024,0.9645453608982556,0.9252951738905169
25,0.025025025025025023,0.9658963556950374,0.9435422750565492
26,0.026026026026026026,0.967117128727647,0.9617930789610722
27,0.02702702702702703,0.9683650185354514,0.9632216368279242
28,0.028028028028028028,0.9687194012954852,0.9642173436656105
29,0.029029029029029027,0.9688757225379154,0.9650151113446019
30,0.03003003003003003,0.9689342438986155,0.965722479133113
31,0.031031031031031032,0.9689927585453597,0.9663723435904441
32,0.03203203203203203,0.9690512664793031,0.966985835275505
33,0.03303303303303303,0.9692227213803123,0.967553327459459
34,0.03403403403403403,0.9695772132466839,0.9680756697715007
35,0.035035035035035036,0.9703698415190978,0.9685762841821428
36,0.036036036036036036,0.97071975812281,0.9690333541658107
37,0.037037037037037035,0.9713512494188004,0.9694689878345567
38,0.03803803803803804,0.9724110865120691,0.9698865846761989
39,0.03903903903903904,0.9726494216791955,0.9702901515500706
40,0.04004004004004004,0.972845447291177,0.9706723128664415
41,0.04104104104104104,0.9729663335252178,0.9710454331034906
42,0.04204204204204204,0.973077787000245,0.9714009513065099
43,0.043043043043043044,0.9731953150708089,0.9717419622143664
44,0.044044044044044044,0.9733147989702606,0.9720628265849429
45,0.04504504504504504,0.9737103038580113,0.9723724234265931
46,0.04604604604604605,0.9739786875744922,0.9726726963951867
47,0.04704704704704705,0.9740435610422189,0.9729630827367778
48,0.04804804804804805,0.9741284881811186,0.9732493237159998
49,0.04904904904904905,0.9742123323028545,0.9735140318418655
50,0.050050050050050046,0.9743118882302367,0.9737624003568223
51,0.05105105105105105,0.9745007278932617,0.9739832174028268
52,0.05205205205205205,0.974706884957771,0.9741801624360679
53,0.05305305305305305,0.9751626261772064,0.9743536702653474
54,0.05405405405405406,0.9757236151284796,0.974521260529188
55,0.055055055055055056,0.9758039364871547,0.9746868166792624
56,0.056056056056056056,0.9758842451003571,0.9748522562528319
57,0.057057057057057055,0.9761995924068346,0.9750221449220896
58,0.058058058058058054,0.9764198250963204,0.9751923684363601
59,0.05905905905905906,0.9763862541915455,0.9753607119270596
60,0.06006006006006006,0.9763526812590878,0.9755232709074483
61,0.06106106106106106,0.9763191062987309,0.9756709612841943
62,0.062062062062062065,0.9762855293102587,0.9758124636324109
63,0.06306306306306306,0.9762519502934552,0.975942256833864
64,0.06406406406406406,0.9762183692481043,0.9760519419055196
65,0.06506506506506507,0.9761847861739897,0.9761576266824551
66,0.06606606606606606,0.976718944125527,0.9762601407179681
67,0.06706706706706707,0.9768210641410192,0.9763613866694826
68,0.06806806806806806,0.9769705129076179,0.9764622554584754
69,0.06906906906906907,0.9771812688709901,0.9765626276443689
70,0.07007007007007007,0.9772534327716802,0.9766620570621669
71,0.07107107107107107,0.9773255863591868,0.9767550074290464
72,0.07207207207207207,0.9773745137189173,0.9768439711521999
73,0.07307307307307308,0.9773203994989726,0.9769334349301724
74,0.07407407407407407,0.9772662799799876,0.9770280796429467
75,0.07507507507507508,0.9772121551610548,0.9771242820581281
76,0.07607607607607608,0.9771580250412671,0.9772205018092813
77,0.07707707707707707,0.9771613254229399,0.9773150235030692
78,0.07807807807807808,0.9772139178287107,0.9774076563674174
79,0.07907907907907907,0.9772665047513495,0.9774935061255428
80,0.08008008008008008,0.9773190861917137,0.9775691729066085
81,0.08108108108108109,0.9773716621506608,0.9776440745354924
82,0.08208208208208208,0.9776570806775026,0.9777182111956502
83,0.08308308308308308,0.9777326657071066,0.9777869742188054
84,0.08408408408408408,0.9778082394059845,0.9778522285310091
85,0.08508508508508508,0.977867721246503,0.9779189603106373
86,0.08608608608608609,0.977902050733142,0.9779872261178056
87,0.08708708708708708,0.9779363778818628,0.9780570259145385
88,0.08808808808808809,0.9779707026929044,0.9781283596628751
