                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
31,1.3685,0.61131,0.90995,1.5262,0.5089,0.8983,0.93949,0.93403,0.97676,0.62017,1.2038,0.55439,0.88033,1.2991,0.42682,0.87483,0.0017129,0.0017129,0.0017129
32,1.3489,0.60603,0.90345,1.5353,0.51237,0.89427,0.92842,0.93984,0.97787,0.60068,1.268,0.58425,0.88579,1.3808,0.46044,0.88343,0.001703,0.001703,0.001703
33,1.3402,0.59731,0.90608,1.5102,0.51211,0.89559,0.92969,0.93168,0.97445,0.61713,1.1915,0.55476,0.87802,1.2924,0.42953,0.87387,0.0016931,0.0016931,0.0016931
34,1.34,0.59918,0.90526,1.5089,0.51249,0.89228,0.92449,0.9362,0.97864,0.61745,1.173,0.55212,0.87364,1.295,0.44352,0.87297,0.0016832,0.0016832,0.0016832
35,1.3411,0.60277,0.90371,1.5041,0.50333,0.8929,0.94757,0.92128,0.9813,0.62662,1.156,0.54644,0.86677,1.2815,0.41954,0.86823,0.0016733,0.0016733,0.0016733
36,1.3135,0.58549,0.89678,1.4652,0.48667,0.88591,0.93692,0.93526,0.98135,0.62187,1.1748,0.54677,0.87134,1.2866,0.41336,0.86848,0.0016634,0.0016634,0.0016634
37,1.318,0.58583,0.89898,1.472,0.48927,0.88563,0.93417,0.95025,0.98305,0.64306,1.1231,0.52678,0.86604,1.2195,0.39791,0.86333,0.0016535,0.0016535,0.0016535
38,1.3215,0.58682,0.90091,1.4714,0.48276,0.88841,0.9392,0.93553,0.98342,0.63437,1.1225,0.53437,0.86523,1.2443,0.40676,0.86485,0.0016436,0.0016436,0.0016436
39,1.2985,0.58332,0.89721,1.4578,0.48367,0.88587,0.94609,0.92968,0.97559,0.64375,1.1136,0.52748,0.86446,1.2065,0.38834,0.86086,0.0016337,0.0016337,0.0016337
40,1.2711,0.57379,0.88772,1.4226,0.46828,0.87659,0.93522,0.93795,0.98194,0.64811,1.0955,0.51721,0.86226,1.1854,0.39419,0.85836,0.0016238,0.0016238,0.0016238
41,1.2869,0.57832,0.89773,1.4375,0.47753,0.88429,0.94972,0.94393,0.98536,0.64321,1.1511,0.53073,0.86491,1.2306,0.3877,0.86158,0.0016139,0.0016139,0.0016139
42,1.2829,0.56894,0.89234,1.4442,0.46857,0.88107,0.94623,0.93653,0.97725,0.65113,1.0987,0.51371,0.86146,1.193,0.38885,0.85736,0.001604,0.001604,0.001604
43,1.2597,0.56257,0.89113,1.4091,0.45504,0.87922,0.95864,0.92659,0.97678,0.65101,1.0914,0.51023,0.8577,1.1811,0.38831,0.85477,0.0015941,0.0015941,0.0015941
44,1.2272,0.5509,0.88315,1.3795,0.45167,0.87372,0.93779,0.94453,0.98202,0.66538,1.0454,0.50101,0.85553,1.1411,0.36858,0.85247,0.0015842,0.0015842,0.0015842
45,1.2426,0.55385,0.89042,1.3931,0.45299,0.87642,0.93584,0.94764,0.98555,0.66273,1.0644,0.50089,0.85896,1.147,0.36925,0.85652,0.0015743,0.0015743,0.0015743
46,1.196,0.54267,0.88019,1.3562,0.44185,0.87123,0.95272,0.94652,0.98548,0.6666,1.0211,0.48436,0.85178,1.1217,0.34984,0.84973,0.0015644,0.0015644,0.0015644
47,1.2131,0.54516,0.88278,1.3748,0.44734,0.87185,0.94999,0.93977,0.9859,0.67103,1.0318,0.48897,0.8499,1.1285,0.36157,0.84729,0.0015545,0.0015545,0.0015545
48,1.2106,0.54724,0.87851,1.3616,0.44474,0.86725,0.95887,0.93212,0.98506,0.66964,1.0261,0.49138,0.85076,1.1218,0.3661,0.84706,0.0015446,0.0015446,0.0015446
49,1.1996,0.54172,0.88001,1.3541,0.43931,0.86778,0.96447,0.93608,0.98695,0.67729,1.0048,0.48056,0.84546,1.1031,0.35616,0.84257,0.0015347,0.0015347,0.0015347
50,1.167,0.52549,0.8725,1.3161,0.42135,0.86147,0.95381,0.94303,0.97907,0.68782,0.98157,0.47477,0.84624,1.0682,0.3378,0.84271,0.0015248,0.0015248,0.0015248
51,1.208,0.53563,0.87857,1.3497,0.42892,0.86701,0.94704,0.93844,0.97751,0.68596,1.0244,0.48512,0.84935,1.0819,0.34707,0.84318,0.0015149,0.0015149,0.0015149
52,1.1822,0.52733,0.88081,1.3311,0.42717,0.8695,0.94955,0.94999,0.98397,0.69402,0.96869,0.46471,0.84411,1.0522,0.33417,0.84147,0.001505,0.001505,0.001505
53,1.1724,0.52522,0.8758,1.3246,0.43099,0.86384,0.94733,0.9527,0.97918,0.69064,0.97174,0.46776,0.84423,1.0609,0.339,0.83962,0.0014951,0.0014951,0.0014951
54,1.1582,0.52493,0.87349,1.2999,0.42931,0.86145,0.95222,0.95608,0.98772,0.69148,0.97497,0.46935,0.84081,1.0726,0.33423,0.83843,0.0014852,0.0014852,0.0014852
